,NASDAQ 100,NASDAQ 100,NASDAQ 100,NASDAQ 100,RUSSELL 2000,RUSSELL 2000,RUSSELL 2000,RUSSELL 2000,S&P 500,S&P 500,S&P 500,S&P 500
,Close,High,Low,Open,Close,High,Low,Open,Close,High,Low,Open
Date,,,,,,,,,,,,
2018-05-30,6976.3701171875,6987.6298828125,6938.02001953125,6955.58984375,1647.989990234375,1651.1099853515625,1624.030029296875,1624.030029296875,2724.010009765625,2729.340087890625,2702.429931640625,2702.429931640625
2018-05-31,6967.72998046875,7016.419921875,6955.990234375,6969.93017578125,1633.6099853515625,1649.72998046875,1632.25,1647.969970703125,2705.27001953125,2722.5,2700.679931640625,2720.97998046875
2018-06-01,7083.93017578125,7084.83984375,7008.02001953125,7010.080078125,1647.97998046875,1650.5,1635.4000244140625,1635.4000244140625,2734.6201171875,2736.929931640625,2718.699951171875,2718.699951171875
2018-06-04,7143.56982421875,7146.77001953125,7099.08984375,7099.5,1653.3699951171875,1655.7099609375,1641.219970703125,1649.199951171875,2746.8701171875,2749.159912109375,2740.5400390625,2741.669921875
2018-06-05,7166.75,7179.81982421875,7137.1298828125,7162.41015625,1664.6300048828125,1664.68994140625,1652.760009765625,1653.68994140625,2748.800048828125,2752.610107421875,2739.510009765625,2748.4599609375
2018-06-06,7210.080078125,7212.4501953125,7140.919921875,7180.240234375,1675.949951171875,1676.1800537109375,1664.449951171875,1665.199951171875,2772.35009765625,2772.389892578125,2748.4599609375,2753.25
2018-06-07,7152.830078125,7212.43017578125,7115.85986328125,7212.43017578125,1667.77001953125,1679.989990234375,1660.8900146484375,1676.52001953125,2770.3701171875,2779.89990234375,2760.159912109375,2774.840087890625
2018-06-08,7152.6201171875,7161.919921875,7100.72998046875,7121.759765625,1672.489990234375,1674.0699462890625,1665.72998046875,1667.6099853515625,2779.030029296875,2779.389892578125,2763.590087890625,2765.840087890625
2018-06-11,7168.47998046875,7187.4501953125,7146.08984375,7149.64990234375,1674.6800537109375,1677.6800537109375,1671.260009765625,1672.5,2782.0,2790.2099609375,2780.169921875,2780.179931640625
2018-06-12,7209.18017578125,7214.490234375,7173.759765625,7181.669921875,1682.300048828125,1686.3699951171875,1674.93994140625,1674.93994140625,2786.85009765625,2789.800048828125,2778.780029296875,2785.60009765625
2018-06-13,7205.259765625,7261.169921875,7193.02001953125,7219.580078125,1676.5400390625,1684.8399658203125,1673.9200439453125,1682.719970703125,2775.6298828125,2791.469970703125,2774.64990234375,2787.93994140625
2018-06-14,7279.58984375,7291.31005859375,7233.7001953125,7233.7001953125,1684.719970703125,1684.72998046875,1674.530029296875,1677.030029296875,2782.489990234375,2789.06005859375,2776.52001953125,2783.2099609375
2018-06-15,7255.759765625,7268.83984375,7220.97021484375,7245.16015625,1683.9100341796875,1684.6300048828125,1672.989990234375,1684.239990234375,2779.659912109375,2782.81005859375,2761.72998046875,2777.780029296875
2018-06-18,7251.41015625,7256.43017578125,7186.16015625,7201.18017578125,1692.4599609375,1692.4599609375,1674.4100341796875,1683.510009765625,2773.75,2774.989990234375,2757.1201171875,2765.7900390625
2018-06-19,7228.0400390625,7229.990234375,7138.02001953125,7158.7998046875,1693.449951171875,1694.0,1672.6600341796875,1692.010009765625,2762.590087890625,2765.050048828125,2743.18994140625,2752.010009765625
2018-06-20,7280.7001953125,7309.990234375,7256.8701171875,7264.85009765625,1706.989990234375,1708.0999755859375,1694.0400390625,1694.0400390625,2767.320068359375,2774.860107421875,2763.909912109375,2769.72998046875
2018-06-21,7217.490234375,7308.259765625,7203.93017578125,7304.0498046875,1688.949951171875,1708.02001953125,1685.5899658203125,1706.989990234375,2749.760009765625,2769.280029296875,2744.389892578125,2769.280029296875
2018-06-22,7197.509765625,7239.75,7177.4599609375,7239.72021484375,1685.5799560546875,1696.3699951171875,1680.9100341796875,1690.280029296875,2754.8798828125,2764.169921875,2752.679931640625,2760.7900390625
2018-06-25,7038.169921875,7144.2900390625,6976.9599609375,7131.0498046875,1657.510009765625,1684.760009765625,1649.81005859375,1684.760009765625,2717.070068359375,2742.93994140625,2698.669921875,2742.93994140625
2018-06-26,7068.2001953125,7108.4501953125,7040.06005859375,7061.22998046875,1668.530029296875,1672.1600341796875,1656.1199951171875,1657.7099609375,2723.06005859375,2732.909912109375,2715.60009765625,2722.1201171875
2018-06-27,6969.669921875,7128.77001953125,6968.2998046875,7096.60009765625,1640.449951171875,1671.469970703125,1640.4200439453125,1668.93994140625,2699.6298828125,2746.090087890625,2699.3798828125,2728.449951171875
2018-06-28,7031.60009765625,7055.25,6950.22998046875,6963.3701171875,1645.02001953125,1647.93994140625,1630.06005859375,1640.3699951171875,2716.31005859375,2724.340087890625,2691.989990234375,2698.68994140625
2018-06-29,7040.7998046875,7101.830078125,7031.39990234375,7071.490234375,1643.0699462890625,1656.050048828125,1642.969970703125,1645.9000244140625,2718.3701171875,2743.260009765625,2718.030029296875,2727.1298828125
2018-07-02,7097.81982421875,7099.27001953125,6969.16015625,6979.5400390625,1655.0899658203125,1655.0899658203125,1631.06005859375,1641.72998046875,2726.7099609375,2727.260009765625,2698.949951171875,2704.949951171875
2018-07-03,7014.5498046875,7122.4501953125,7009.509765625,7121.7099609375,1660.4200439453125,1667.52001953125,1655.4000244140625,1655.4000244140625,2713.219970703125,2736.580078125,2711.159912109375,2733.27001953125
2018-07-05,7101.0498046875,7105.5400390625,7025.25,7064.0,1679.47998046875,1679.6600341796875,1660.6500244140625,1660.6500244140625,2736.610107421875,2737.830078125,2716.02001953125,2724.18994140625
2018-07-06,7207.330078125,7217.0,7106.10009765625,7114.169921875,1694.050048828125,1695.1800537109375,1678.5699462890625,1679.449951171875,2759.820068359375,2764.409912109375,2733.52001953125,2737.679931640625
2018-07-09,7276.0,7277.580078125,7221.31982421875,7251.18017578125,1704.5999755859375,1704.8399658203125,1694.6600341796875,1694.6600341796875,2784.169921875,2784.64990234375,2770.72998046875,2775.6201171875
2018-07-10,7282.60009765625,7297.7900390625,7257.490234375,7287.0498046875,1695.6199951171875,1708.56005859375,1689.3499755859375,1704.8299560546875,2793.840087890625,2795.580078125,2786.239990234375,2788.56005859375
2018-07-11,7243.97998046875,7271.1201171875,7220.22998046875,7221.66015625,1683.6600341796875,1696.02001953125,1683.0999755859375,1694.06005859375,2774.02001953125,2785.909912109375,2770.77001953125,2779.820068359375
2018-07-12,7366.25,7368.72021484375,7274.16015625,7276.3798828125,1690.280029296875,1692.4300537109375,1679.260009765625,1685.1700439453125,2798.2900390625,2799.219970703125,2781.530029296875,2783.139892578125
2018-07-13,7375.81982421875,7387.740234375,7348.9599609375,7372.27978515625,1687.0799560546875,1697.4000244140625,1686.8800048828125,1690.2900390625,2801.31005859375,2804.530029296875,2791.68994140625,2796.929931640625
2018-07-16,7357.89990234375,7390.64013671875,7346.33984375,7381.02978515625,1678.5400390625,1688.4000244140625,1672.4200439453125,1687.06005859375,2798.429931640625,2801.18994140625,2793.389892578125,2797.360107421875
2018-07-17,7403.89013671875,7418.43017578125,7288.2998046875,7291.47998046875,1687.260009765625,1690.0400390625,1676.0999755859375,1678.0,2809.550048828125,2814.18994140625,2789.239990234375,2789.340087890625
2018-07-18,7390.1298828125,7411.25,7368.35986328125,7407.25,1691.8699951171875,1692.02001953125,1679.22998046875,1687.1400146484375,2815.6201171875,2816.760009765625,2805.889892578125,2811.35009765625
2018-07-19,7352.35986328125,7388.990234375,7344.330078125,7364.66015625,1701.31005859375,1702.8900146484375,1686.260009765625,1691.199951171875,2804.489990234375,2812.050048828125,2799.77001953125,2809.3701171875
2018-07-20,7350.22998046875,7398.58984375,7343.3701171875,7379.1298828125,1696.81005859375,1703.4300537109375,1696.0400390625,1701.1500244140625,2801.830078125,2809.699951171875,2800.010009765625,2804.550048828125
2018-07-23,7371.77978515625,7376.81982421875,7301.33984375,7335.419921875,1698.4100341796875,1701.969970703125,1690.530029296875,1696.4200439453125,2806.97998046875,2808.610107421875,2795.139892578125,2799.169921875
2018-07-24,7406.25,7475.990234375,7375.740234375,7455.509765625,1680.199951171875,1706.8299560546875,1675.010009765625,1700.0999755859375,2820.39990234375,2829.989990234375,2811.1201171875,2820.679931640625
2018-07-25,7508.58984375,7511.39013671875,7405.64013671875,7406.10009765625,1685.199951171875,1685.4200439453125,1675.050048828125,1680.3399658203125,2846.070068359375,2848.030029296875,2817.72998046875,2817.72998046875
2018-07-26,7400.75,7430.1201171875,7385.72021484375,7404.56005859375,1695.3599853515625,1702.9300537109375,1684.75,1685.239990234375,2837.43994140625,2845.570068359375,2835.260009765625,2835.489990234375
2018-07-27,7296.77978515625,7443.240234375,7255.31982421875,7443.240234375,1663.3399658203125,1697.300048828125,1660.4300537109375,1695.25,2818.820068359375,2843.169921875,2808.340087890625,2842.35009765625
2018-07-30,7193.10009765625,7299.080078125,7158.77978515625,7292.72021484375,1653.1300048828125,1669.5,1652.72998046875,1663.3900146484375,2802.60009765625,2821.739990234375,2798.110107421875,2819.0
2018-07-31,7231.97998046875,7272.9599609375,7179.41015625,7219.669921875,1670.800048828125,1675.6500244140625,1653.5699462890625,1653.5699462890625,2816.2900390625,2824.4599609375,2808.06005859375,2809.72998046875
2018-08-01,7272.89013671875,7294.7998046875,7234.64013671875,7269.2001953125,1669.260009765625,1673.22998046875,1657.5400390625,1670.8699951171875,2813.360107421875,2825.830078125,2805.85009765625,2821.169921875
2018-08-02,7372.14990234375,7380.56005859375,7221.35009765625,7221.35009765625,1682.0999755859375,1682.300048828125,1662.3299560546875,1668.989990234375,2827.219970703125,2829.909912109375,2796.340087890625,2800.47998046875
2018-08-03,7395.490234375,7395.490234375,7356.330078125,7389.35986328125,1673.3699951171875,1687.300048828125,1668.3499755859375,1682.0799560546875,2840.35009765625,2840.3798828125,2827.3701171875,2829.6201171875
2018-08-06,7438.990234375,7439.5498046875,7381.580078125,7390.81982421875,1684.31005859375,1684.800048828125,1671.989990234375,1673.25,2850.39990234375,2853.2900390625,2835.97998046875,2840.2900390625
2018-08-07,7462.64990234375,7478.9599609375,7443.8798828125,7459.31982421875,1688.300048828125,1694.3599853515625,1684.8599853515625,1684.8599853515625,2858.449951171875,2863.429931640625,2855.919921875,2855.919921875
2018-08-08,7469.5498046875,7486.2099609375,7435.77001953125,7454.419921875,1686.8800048828125,1689.3399658203125,1677.6700439453125,1688.6800537109375,2857.699951171875,2862.43994140625,2853.090087890625,2856.7900390625
2018-08-09,7466.9599609375,7498.3701171875,7458.56982421875,7467.509765625,1690.8900146484375,1696.75,1686.4300537109375,1687.050048828125,2853.580078125,2862.47998046875,2851.97998046875,2857.18994140625
2018-08-10,7408.2998046875,7436.68994140625,7382.830078125,7409.0498046875,1686.800048828125,1695.7900390625,1680.77001953125,1689.3199462890625,2833.280029296875,2842.199951171875,2825.81005859375,2838.89990234375
2018-08-13,7401.169921875,7468.81982421875,7398.52978515625,7420.18017578125,1675.3199462890625,1689.0999755859375,1670.6199951171875,1686.81005859375,2821.929931640625,2843.39990234375,2819.8798828125,2835.4599609375
