,NASDAQ 100,NASDAQ 100,NASDAQ 100,NASDAQ 100,RUSSELL 2000,RUSSELL 2000,RUSSELL 2000,RUSSELL 2000,SP 500,SP 500,SP 500,SP 500
,Close,SMA Fast,SMA Slow,Signal,Close,SMA Fast,SMA Slow,Signal,Close,SMA Fast,SMA Slow,Signal
Date,,,,,,,,,,,,
2016-04-21,4540.7998046875,4520.228678385417,4387.796220703125,1,1135.77001953125,1117.8693522135416,1080.0631024169923,1,2091.47998046875,2071.9273193359377,1994.6389990234375,-1
2016-04-22,4474.18994140625,4516.3693359375,4385.73341796875,1,1146.68994140625,1119.8033447265625,1079.5062017822265,1,2091.580078125,2073.180655924479,1994.6536987304687,-1
2016-04-25,4474.1298828125,4513.8646484375,4383.829619140625,1,1138.0999755859375,1121.7740071614583,1078.9061016845703,1,2087.7900390625,2074.6246663411457,1994.7275,-1
2016-04-26,4452.97021484375,4512.679329427084,4381.197719726562,1,1150.72998046875,1125.4326741536458,1078.371801147461,1,2091.699951171875,2077.72666015625,1994.6182006835938,-1
2016-04-27,4416.6298828125,4504.202669270833,4378.50181640625,1,1154.1500244140625,1128.4553385416666,1077.996401977539,1,2095.14990234375,2079.6259928385416,1994.774599609375,-1
2016-04-28,4363.990234375,4496.782682291667,4376.07421875,1,1140.4000244140625,1131.6293375651042,1077.6947027587892,1,2075.81005859375,2081.885994466146,1995.0364990234375,-1
2016-04-29,4341.2998046875,4487.873990885417,4372.326015625,1,1130.8499755859375,1133.86533203125,1077.1692022705079,1,2065.300048828125,2083.0659993489585,1994.7726000976563,-1
2016-05-02,4381.2998046875,4482.713313802084,4369.2028125,1,1140.9200439453125,1136.9706705729166,1076.9354022216796,1,2081.429931640625,2085.6953287760416,1994.8161987304688,-1
2016-05-03,4341.39013671875,4472.4033203125,4365.669013671875,1,1121.760009765625,1138.040673828125,1076.5590020751954,1,2063.3701171875,2085.8053385416665,1994.8139990234374,-1
2016-05-04,4312.009765625,4456.222623697917,4362.5677099609375,1,1113.1300048828125,1136.9206705729166,1076.2316021728516,1,2051.1201171875,2083.718684895833,1994.8490002441406,-1
2016-05-05,4309.47998046875,4439.879296875,4359.23201171875,1,1107.949951171875,1135.5446695963542,1075.8209014892577,1,2050.6298828125,2081.575341796875,1994.832999267578,-1
2016-05-06,4330.169921875,4425.679947916667,4357.158110351563,1,1114.719970703125,1134.4646647135417,1075.7320013427734,1,2057.139892578125,2080.0026692708334,1995.2806982421876,-1
2016-05-09,4341.22998046875,4410.474609375,4354.86880859375,1,1118.25,1133.0626627604167,1075.755901489258,1,2058.68994140625,2077.6259928385416,1995.6481982421874,-1
2016-05-10,4402.0400390625,4401.4712890625,4352.915908203125,1,1128.8299560546875,1132.3026611328125,1075.7287005615235,1,2084.389892578125,2076.531982421875,1996.0579968261718,-1
2016-05-11,4361.02978515625,4389.510611979166,4349.88060546875,1,1114.739990234375,1130.4659912109375,1075.3864007568359,1,2064.4599609375,2074.002652994792,1995.971895751953,-1
2016-05-12,4342.81005859375,4376.311295572917,4347.3273046875,1,1108.5999755859375,1128.6546549479167,1075.1188006591797,1,2064.110107421875,2072.1779947916666,1996.1940966796874,-1
2016-05-13,4326.52978515625,4366.46728515625,4345.444301757812,1,1102.43994140625,1125.7046549479167,1074.9329998779297,1,2046.6099853515625,2069.1799886067706,1996.6046960449219,-1
2016-05-16,4380.47998046875,4360.223958333333,4343.643603515625,1,1116.2099609375,1124.2453206380208,1074.817699584961,1,2066.659912109375,2067.7713134765627,1997.059794921875,-1
2016-05-17,4322.56005859375,4351.529947916667,4340.976606445312,1,1097.6800537109375,1120.7086588541667,1074.4176007080077,1,2047.2099609375,2064.805314127604,1997.1421948242187,-1
