pub_date,snippet
2000-05-16 05:00:00+00:00,"May 15, 2000"
2000-05-16 05:00:00+00:00,"ETrade Group and Wit Capital Group say they will team up to compete against their off-line rivals; ETrade will form alliance with Wit Capital after online investment bank acquires E-Offering, competitor that ETrade helped to finance a year ago; de..."
2000-05-16 05:00:00+00:00,"The landscape of private banking in Asia has changed since the Asian crisis roiled world markets in 1997. To get a perspective on the shifts in private banking priorities and practices in Asia, as well as the changing needs of clients, Sharon Reie..."
2000-05-16 05:00:00+00:00,Excerpts from remarks by Republican presidential candidate Gov George W Bush and Democratic rival Vice Pres Al Gore at senior citizens center in California laying out proposals for Social Security (M)
2000-05-16 05:00:00+00:00,"The explosive growth of financial markets around the world in recent years has been driven in large part by the big U.S. investment banks. By helping to privatize huge swaths of industry, fostering the growth of new companies through initial publi..."
2000-05-16 05:00:00+00:00,"Lycos, one of nation's biggest portals, agrees to be acquired by Telefonica of Spain in sweeping deal across borders and languages worth more than $12 billion; deal would combine Lycos with Terra Networks, Internet arm of Telefonica, and link new ..."
2000-05-16 05:00:00+00:00,"Toys 'R' Us Inc says its earnings in quarter ended April 29 rose for first time in more than two years; profit rose 41 percent, to $24 million, compared with net income of $17 million in quarter a year ago; sales rose 7.1 percent, to $2.32 billion..."
2000-05-16 05:00:00+00:00,"Republican presidential candidate Gov George W Bush, casting overhaul of Social Security system as 'test of presidential candidates,' proposes fundamental change in retirement system that would allow workers to choose how to invest some of their p..."
2000-05-16 05:00:00+00:00,
2000-05-16 05:00:00+00:00,"European banking, 1999: A gentleman in pinstripes ushers a client of a certain age into a mahogany-paneled back office. Beneath an imitation Unicorn Tapestry, they pore over a portfolio for several hours, pour glasses of port and agree to meet aga..."
2000-05-16 05:00:00+00:00,
2000-05-16 05:00:00+00:00,"Slide in technology shares prompted investors to cut amount they borrowed last month for share purchases by $27 billion, or 9.6 percent; first monthly decline since August brought to $251 billion amount investors owe securities firms that are memb..."
2000-05-16 05:00:00+00:00,"Market Place column on short-sellers of technology stocks; says meteoric rise of technology stocks over last few years forced many short-sellers to abandon positions, shut their operations or liquidate their portfolios and go into cash; says when ..."
2000-05-16 05:00:00+00:00,New Jersey's Democratic Senate primary heats up as Jim Florio and Jon S Corzine spar over issues at radio forum for candidates; Florio charges Corzine ducks televised debate sponsored by League of Women Voters; Corzine begins broadcasting new tele...
2000-05-16 05:00:00+00:00,"News analysis of differing proposals to maintain solvency of Social Security, laid out by Republican presidential candidate Gov George W Bush and Democratic rival Vice Pres Al Gore (M)"
2000-05-16 05:00:00+00:00,"In a calculated political gamble, Governor George W. Bush of Texas sketched out a proposal Monday to remake the Social Security retirement system dramatically by allowing younger American workers for the first time to invest a portion of their pay..."
2000-05-16 05:00:00+00:00,"Stock markets rise ahead of expected move by Federal Reserve to raise interest rates; Dow Jones industrial average rises 198.41 points, or 1.9 percent, to 10,807.78, while Nasdaq composite index climbs 78.59 points, or 2.2 percent, to 3,607.65; St..."
2000-05-16 05:00:00+00:00,"As major banks scramble to create global powerhouses with global brands, private banking units are undergoing restructuring. Not that private banking executives like to call it that. Most prefer euphemisms. .""We have a great deal of re-engineering"
2000-05-16 05:00:00+00:00,"New York Times/CBS News Poll finds while many Americans find Vice Pres Al Gore's stands on issues more appealing, he is not as well liked or considered as commanding a leader as Republican rival Gov George W Bush; Bush has emerged as preferred can..."
2000-05-17 05:00:00+00:00,"Coca-Cola Enterprises, Coca-Cola Co's largest bottler, says it will not meet its growth target in US this year and that it is facing even bigger hurdles in another major market, Britain; shares of Coca-Cola Enterprises drop 30 percent, or $6.9375,..."
2000-05-17 05:00:00+00:00,"Mark Bittman article on cooking Asian noodles, the 'original pasta'; recipes; photos (L)"
2000-05-17 05:00:00+00:00,"Anglo American PLC, world's largest mining company, says Julian Ogilvie Thompson, last of generation of managers who dominated South African-led company during and beyond apartheid era, will step down as chief executive in July; Ogilvie Thompson t..."
2000-05-17 05:00:00+00:00,"US Treasury bond prices rise; price of 30-year Treasury bond rises 19/32, to 102; yield falls to 6.10 percent from 6.15 percent; chart on US key interest rates (S)"
2000-05-17 05:00:00+00:00,"Gov George W Bush has reignited debate over future of Social Security and whether to let individuals invest some of their payroll taxes in stock market; his proposal contains few specifics, leaving supporters and critics to talk in familiar genera..."
2000-05-17 05:00:00+00:00,Vice Pres Al Gore says he has avoided stock market investing for nearly 25 years because of conflict-of-interest concerns; responds to Gov George W Bush's stand that Gore has substantial stock investments (M)
2000-05-17 05:00:00+00:00,"Federal Reserve, adopting more aggressive stance in fight against inflation, votes to raise federal funds target rate on overnight loans among banks by half a percentage point, to 6.5 percent, highest level since January 1991 and largest such incr..."
2000-05-17 05:00:00+00:00,Consumers will quickly begin to feel pinch of Federal Reserve's half-point increase as borrowing becomes more expensive; rates on fixed-rate mortgages have already climbed and may even retreat some from their current level of about 8.5 percent; co...
2000-05-17 05:00:00+00:00,"Jon S Corzine and Jim Florio, New Jersey's two Democratic candidates for United States Senate, clash over gun control, national security and taxes during their third debate as each candidate tries to portray himself as stronger champion of working..."
2000-05-17 05:00:00+00:00,"Catherine Hovis, former securities broker at Nationsbank Corp, says she regrets deliberately selling risky securities to elderly-risk averse clients, action that resulted in $29 million class-action settlement by bank; says she had to choose betwe..."
2000-05-17 05:00:00+00:00,"Vice Pres Al Gore scores Gov George W Bush's proposal to let workers invest some of their Social Security taxes, speech at Fordham Business School graduate students; says plan would place baby boomers it is intended to help at mercy of markets; sa..."
2000-05-17 05:00:00+00:00,"Federal Reserve chairman Alan Greenspan still believes that his medicine--higher interest rates--will reduce economy's feverish growth; but it appears medicine is much weaker than he thought just a year ago, and that much higher doses will be need..."
2000-05-17 05:00:00+00:00,
2000-05-17 05:00:00+00:00,Editorial says Federal Reserve's half-point interest rate increase signals that it intends to clamp down on inflation; says rise in stock prices reflects Wall Street's belief that Federal Reserve will keep inflation under tight control
2000-05-17 05:00:00+00:00,"Lycos agrees to be bought by Terra Networks, Internet unit of Spanish telephone giant Telefonica, for $12.5 billion in stock; combination includes partnership with Bertelsmann AG, which agrees to spend $1 billion over next five years to promote it..."
2000-05-17 05:00:00+00:00,"America's central bankers intensified their battle against inflation on Tuesday, raising short-term interest rates by half a percentage point and warning they remained more concerned about the possibility of rising prices than about derailing econ..."
2000-05-17 05:00:00+00:00,Paul Krugman Op-Ed column scores Gov George Bush's proposal to let workers invest some of their Social Security taxes in stocks; warns plan would encourage workers to buy overpriced stocks and lead to even worse Social Security crisis (M)
2000-05-17 05:00:00+00:00,"Corel Corp and Inprise/Borland Corp scrap their planned merger three months after two software companies announced all-stock deal, then worth more than $1 billion; Corel's steadily eroding share price makes merger untenable, and company is now exa..."
2000-05-18 05:00:00+00:00,"Steven Wallman, former securities regulator, begins company Folioâfnã as alternative to traditional mutual funds, most of which he maintains are not worth owning; says traditional funds cost too much, repeatedly fail to beat the market and frequen..."
2000-05-18 05:00:00+00:00,"Vice Pres Al Gore steps up his criticism of Gov George W Bush's proposal to let taxpayers invest some Social Security taxes; tells AARP members at convention in Orlando, Fla, that plan could jeopardize retirement benefits even of current recipient..."
2000-05-18 05:00:00+00:00,"Bob Herbert Op-Ed column notes that Gov George W Bush wants to allow working Americans to invest portion of their Social Security taxes in stock market, even though Bush's top economic adviser, Lawrence Lindsey, has long warned of potential stock ..."
2000-05-18 05:00:00+00:00,"Jim Florio, who throughout their bitter contest for Democratic Senate nomination from New Jersey has demonized Jon S Corzine for supporting 'risky scheme' to extend solvency of Social Security by investing government money in stock market, publicl..."
2000-05-18 05:00:00+00:00,Photo Bought on the Web May Show Emily Dickinson
2000-05-18 05:00:00+00:00,
2000-05-18 05:00:00+00:00,"Greg Costikyan article holds abandonware Internet sites that offer computer games that are no longer published and emulators to let users run games provide criticial service to game designers and scholars and gaming enthusiasts, but violate copyri..."
