pub_date,snippet
2002-10-09 05:00:00+00:00,
2002-10-09 05:00:00+00:00,"Securities and Exchange Commission says ACLN Ltd's revenue from its auto business did not exist, company did not own major asset it showed on its books, and its bank account documents were forged; contends auditor BDO International of Cyprus did n..."
2002-10-09 05:00:00+00:00,"Palm Inc says Sony Corp has made $20 million minority equity investment in PalmSource, Palm's software division, which is scheduled to be spun off as separate company within three months; Sony now owns about 6 percent of Palm's software unit (S)"
2002-10-09 05:00:00+00:00,"South Korea's stock index, until recently star of Asian markets, has gone so sharply downhill that coporations and firms that invest in them wonder if another bubble is bursting; volatile mix of America's shipping shutdown and stock slide and what..."
2002-10-09 05:00:00+00:00,"It used to be that fashion buyers could carry on like Texan businessmen on a Las Vegas weekend. Their idea of a buying appointment would be to slap down $35,000 on Armani (or the label of the day) as if they were putting stacks of chips on black, ..."
2002-10-09 05:00:00+00:00,
2002-10-09 05:00:00+00:00,"Survey by bank regulators shows loan losses continued to rise at banks and other institutions, mostly because of faltering telecommunications and cable companies; finds total amount of bad loans rose by more than third from year earlier, but only ..."
2002-10-09 05:00:00+00:00,"German Chancellor Gerhard Schroder, in move to reduce Germany's stubbornly high unemployment rate, names Wolfgang Clement to be chief of combined labor and economics ministry; Clement says his new super-ministry will 'mobilize all forces' in fight..."
2002-10-09 05:00:00+00:00,"Merrill Lynch & Co, two years after paying more than $900 million to buy Herzog Heine Geduld which specialized in trading Nasdaq stock, says it will merge business into its trading operation and shrink number of stocks it trades by 76 percent; say..."
2002-10-09 05:00:00+00:00,"Editorial contends that 107th Congress is running out of time to redeem its thin, disappointing legislative record, even though majority leader Tom Daschle threatens to keep Senate in business until Election Day; lists some actions Congress should..."
2002-10-09 05:00:00+00:00,"Amanda Hesser reports on her shopping experiences at big-box discount markets Costco and Stew Leonard's to get ingredients for her dinner party; tables compare prices at Fairway market in Manhattan, Costco in Yonkers, Stew Leonard's in Yonkers, Sa..."
2002-10-10 05:00:00+00:00,"Ruth Meza-Orozco, 23, works six days a week in a Taiwanese clothing factory in Managua's Free Trade Zone. On Sundays, she studies. ""My salary doesn't help me with anything,"" said Meza-Orozco, who has been working in the Free Trade Zone since she"
2002-10-10 05:00:00+00:00,Worlr
2002-10-10 05:00:00+00:00,
2002-10-10 05:00:00+00:00,
2002-10-10 05:00:00+00:00,"Construction is already going on at World Trade Center site; dozens of new steel columns presage new PATH station; subway trains already cross subterranean acreage every few minutes; 13-foot viewing wall of galvanized steel grates, with memorial a..."
2002-10-10 05:00:00+00:00,"Documents released by House Energy and Commerce Committee show executives, directors and employees of ImClone Systems sold nearly $74 million in company stock in December in weeks before it suffered regulatory setback that sent shares into tailspi..."
2002-10-10 05:00:00+00:00,Search led by Harvey L Pitt for new top accounting regulator turns into political brawl as Bush admininstration officials defend him against prominent Democrats who call for Pitt to be removed as chairman of Securities and Exchange Commission; Dem...
2002-10-10 05:00:00+00:00,"Editorial urges Harvey Pitt, SEC chairman, to name John Biggs, respected TIAA-CREF pension fund manager and proponent of tighter accounting practices, as chairman of board for accounting profession; says opposition to Biggs from accounting industr..."
2002-10-10 05:00:00+00:00,"Dow Jones industrial average drops 215.22 points, or 2.9 percent, to 7,286.27, five-year low; Standard & Poor's 500-stock index falls 21.79 points, or 2.7 percent, to 776.76, lowest in five and half years; Nasdaq composite index is off 15.10 point..."
2002-10-10 05:00:00+00:00,RUSSIA: Utility Reform Advances; GERMANY: Industrial Production Rises; BRITAIN: Electronics Retailer Acquired;.
2002-10-10 05:00:00+00:00,"Ford Motor Co's stock drops 7.7 percent, to $7.15, lowest level in 10 years and 16 percent drop on week; investors seem to be awakening to host of weaknesses in Ford's financial position; Ford, mostly through its Ford Motor Credit unit, carries st..."
2002-10-10 05:00:00+00:00,"SunTrust Banks reports third-quarter earnings rose 2.7 percent, missing analysts' forecasts; net income increased to $343 million from $334.1 million year earlier; revenue rose 1.7 percent, to $1.35 billion (S)"
2002-10-10 05:00:00+00:00,"Daniel Kahneman of Princeton University and Vernon L Smith of George Mason University are awarded Nobel Memorial Prize in Economic Science; tried to explain idiosyncrasies in people's ways of making decisions, research that has helped incorporate ..."
2002-10-10 05:00:00+00:00,
2002-10-10 05:00:00+00:00,Japan's Economics Min Heizo Takenaka confirms that Japan's markets are in severe shape; Prime Min Junichiro Koizumi rebuffs politicians' pleas by refusing to try to make soft landing with cushion of several trillion more yen in bonds; Nikkei index...
2002-10-10 05:00:00+00:00,"JAPAN: Warily, The Economy Grows; JAPAN: Bank Expects Lower Profit; SOUTH KOREA: Partner For Gm Daewoo; SOUTH KOREA: Utility To Start Privatization; CHINA: Telecom Shares Open;."
2002-10-10 05:00:00+00:00,Republican House and Senate candidates are striking back hard at Democrats who accuse them of planning to pilfer Social Security checks of the elderly by steering their retirement money into stock market; charge that Democrats are 'fright mongers'...
2002-10-11 05:00:00+00:00,"Accenture says net income was $38.1 million in its fourth quarter, compared with net loss of $369 million year earlier; sales declined to $2.69 billion from $2.78 billion (M)"
2002-10-11 05:00:00+00:00,Letter from Robert Stein sees generation gap in debate over going to war against Iraq (Sen Robert C Byrd's Oct 10 Op-Ed)
2002-10-11 05:00:00+00:00,NEW YORK GOVERNMENT OFFICES Closed.
2002-10-11 05:00:00+00:00,Japan's chief financial regulator Heizo Takenaka says government and Bank of Japan will join forces to deal with 52 trillion yen ($430 million) in bad loans that are plaguing economy; such cooperation would represent break in decade-long deadlock ...
2002-10-11 05:00:00+00:00,"&quot;The Transporter&quot; is the latest attempt by the French one-man film industry Luc Besson (the director, writer and producer of &quot;The Fifth Element,&quot; &quot;The Big Blue&quot; and &quot;La Femme Nikita&quot;), to transplant the Hong..."
2002-10-11 05:00:00+00:00,Steven Rattner Op-Ed article says current United States economic situation is not as dire as it may seem and news is not all bad; suggests paying attention to long-term issues would be best medicine for today's less serious ailments (M)
2002-10-11 05:00:00+00:00,SINGAPORE: Economy Slows; OIL AT CASPIAN SEA SITE; SOUTH KOREA: Rates Steady;.
2002-10-11 05:00:00+00:00,
2002-10-11 05:00:00+00:00,The European Central Bank on Thursday intensified pressure on France to reduce its deficit after Paris said this week that it would ignore the euro zone's rules on budget austerity next year..The ECB also voted at the meeting of its governors Thur...
2002-10-11 05:00:00+00:00,Floyd Norris column on TXU Inc's debt problems and reassurances from chairman-chief executive Erle Nye that outlook for company is good; says Nye acknowledges financial problems but believes 13.7 percent dividend yield on stock is secure; TXU shar...
2002-10-11 05:00:00+00:00,List of Columbus Day holiday schedules in New Yorke
2002-10-11 05:00:00+00:00,"ImClone Systems' directors acknowledge that former chief executive Samuel D Waksal was allowed to remain at company even after board learned of two incidents in which he may have forged signatures, once in 1986; acknowledgments come in hearing bef..."
2002-10-11 05:00:00+00:00,Bank of Korea decides not to raise interest rates after Korea stock price index falls 5.79 percent (S)
2002-10-11 05:00:00+00:00,Ford Motor Co's senior executives plan to meet with major investors after third-quarter results are announced next week to appeal for patience as company tries turnaround; analysts say warm reception seems unlikely; investors regard Ford Motor as ...
2002-10-11 05:00:00+00:00,Roche Holding says vitamin price-fixing case from 1990's is taking growing toll on its finances; surprises analysts by announcing that it will set aside additional 1.2 billion Swiss francs ($810 million) to cover costs of lawsuits in matter (M)
2002-10-11 05:00:00+00:00,"Goldman Sachs retail composite index shows sales at stores open at least year were up 1.2 percent in September from year ago; finds discounters were up 3.1 percent, while department stores were down 3 percent; results worry industry looking warily..."
2002-10-11 05:00:00+00:00,"Securities and Exchange Commission files civil complaint against Lernout & Hauspie Speech Products, accusing it of inflating revenue by hundreds of millions of dollars; says company created bogus customers, booked circular transactions with shell ..."
2002-10-11 05:00:00+00:00,"Dow Jones & Co, publisher of Wall Street Journal, reports third-quarter net income of $2.4 million, decline of about 85 percent from $16.7 million in quarter year earlier; says revenue fell about 11 percent, to $352.4 million from $397.6 million y..."
2002-10-11 05:00:00+00:00,Securities and Exchange Commission chairman Harvey L Pitt wins praise from European policy makers when he promises to seek their cooperation on broad range of new accounting standards and regulatory measures; says he is open to considering waivers...
2002-10-11 05:00:00+00:00,Plunging stock market and troubled economy are taking toll on philanthropies and institutions they support; shriveling endowments and new wave of philanthropic thriftiness have compelled many organizations to cut back work force and to tell grant ...
2002-10-11 06:28:00+00:00,"In this lesson, students will explore how political candidates use mass media to deliver their messages to voters. Focusing on specific issues in the upcoming election, students will create television commercials representing different parties’ vi..."
2002-10-12 05:00:00+00:00,"Japanese central bank moves to hasten cleanup of country's ailing banking system, saying it will spend $16 billion of its own money to buy stocks from threatened banks; calls on government to use tax money to absorb more of banks' losses on failed..."
2002-10-12 05:00:00+00:00,"Editorial on Nobel Prize in economics awarded to Americans Daniel Kahneman and Vernon L Smith, whose work describes gap between predictions of human behavior according to economic theory and way humans really act"
2002-10-12 05:00:00+00:00,South Korean government announces sweeping plan for injecting new life into its sagging stock market by allowing increased stock market investments by National Pension Fund and other government pension plans (M)
2002-10-12 05:00:00+00:00,Columbus Day closing schedules in New York
2002-10-12 05:00:00+00:00,"You probably know the old joke:. ""How do you make a small fortune in the stock market?"" ""Start with a large fortune."" After three years in which most major markets have lost between a third and a half of their value, depending on the i"
2002-10-12 05:00:00+00:00,Ohio jury orders Prudential Securities to pay $261.7 million damages to investors who accused their broker of selling stocks without their permission; 250 plaintiffs joined in class-action state suit focused on activities of former Prudential brok...
2002-10-12 05:00:00+00:00,
2002-10-12 05:00:00+00:00,"Zurich Financial Services receives 95 percent shareholder approval to sell $2.5 billion in new shares to public at 65 Swiss francs (43.39) each, full 50 percent discount; sale, intended to bolster insurer's dwindled capital position, emboldens Swi..."
2002-10-12 05:00:00+00:00,"Democrats this year return to economic well as campaign issue, and latest opinion polls seem to show this emphasis should have considerable appeal; but so far, for variety of reasons, Democrats seem not to have gained traction on issue they enjoye..."
2002-10-12 05:00:00+00:00,ITALY: Fiat Weighs Options With G.M.; GERMANY: Porsche Profit Zooms; RUSSIA: Firm Buys Iraqi Oil; SWITZERLAND: Insurance Shares Rally; ITALY: Proposal To Replace Mediobanca Chairman;.
2002-10-12 05:00:00+00:00,"Democrats in Congress seek to turn public attention from Iraq to economy, saying Pres Bush must work with them to create more jobs, protect retirement savings, and guard against corporate fraud (S)"
2002-10-12 05:00:00+00:00,"New Jersey's pension funds lost $6 billion, 9.4 percent of their value, in quarter ended Sept 30; State Treasurer John E McCormac seeks administrative overhaul (S)"
2002-10-12 05:00:00+00:00,"Dow Jones industrial average rises 316.34 points, or 4.2 percent, to 7,850.29; 31.40-point gain brings Standard & Poor's 500-stock index to 835.32, up 3.9 percent; Nasdaq composite index rises 47.10 points, to 1,210.47, gain of 4.1 percent; 10-yea..."
2002-10-12 05:00:00+00:00,"Frank Rich Op-Ed column says Democrats have made feeble response Pres Bush's Iraq policy and delivered, as an alternative, only a tired rant about state of economy; drawing (M)"
2002-10-12 05:00:00+00:00,Documents reveal that there was heated debate at Goldman Sachs Group's four years ago when firm was trying to hire Jack B Grubman as telecommunications analyst; some executives argued that Grubman was was too involved in investment-banking side of...
2002-10-12 05:00:00+00:00,"Wall Street analysts fear crippling financial crisis in Brazil, with chance of default on public debt and return of high inflation, as they consider possible victory of left-leaning Luis Inacio Lula da Silva in Oct 27 presidential runoff elections..."
2002-10-13 05:00:00+00:00,FedEx shares rise 29.9 percent over last 12 months -- even as Standard & Poor's 500-stock index loses 23.9 percent; company tries to insulate itself from vagaries of national economy; investment professionals differ on outlook for company's future...
2002-10-13 05:00:00+00:00,Elisabeth DeMarse letter responds to Oct 6 Economic View column concerning continued consumer spending in current economic climate
2002-10-13 05:00:00+00:00,Summary of week's trading in markets; graphs; tables (M)
2002-10-13 05:00:00+00:00,"Educational toys, video games and licensed toys are expected to be bright spot in generally lackluster holday retail season (S)"
2002-10-13 05:00:00+00:00,"With his passion for the past, the fashion guru Cameron Silver brings out the luster in a neglected Modernist gem."
2002-10-13 05:00:00+00:00,"Deciding when to sell shares in mutual funds is more difficult than figuring out which funds to buy; exchanging ownership in one fund for another can lead to much better returns, as is case with individual stocks; photo; table (M)"
2002-10-13 05:00:00+00:00,"American economy continues to suffer through broad jobs slump that has spread pain more evenly than almost any downturn on record, almost year after economy began growing again; few companies have hired significant numbers of new employees, and wo..."
2002-10-13 05:00:00+00:00,Managers of Nasdaq stock market consider changing rule that stocks traded on it maintain minimum share price of $1; some companies conduct reverse stock splits to raise per-share values (M)
2002-10-13 05:00:00+00:00,Interview with Morgan Stanley analyst Stephen J Girsky on his bearish outlook for all three major United States automobile manufacturers; photo (M)
2002-10-13 05:00:00+00:00,"Board of California Public Employees' Retirement System, which is responsible for growth and safety of $136 billion in retirement funds of 1.3 million public employees whose pensions it guarantees, is criticized for being too activist, too eager t..."
2002-10-13 05:00:00+00:00,James Traub article on reluctance of Democrats to run on platform of economic populism; suggests how effective populist platform could be shaped; photos (M)
2002-10-13 05:00:00+00:00,Republicans criticize Democratic National Committee fund-raising video-cartoon implying that Pres Bush's proposal to allow private investment of retirement money could threaten Social Security (S)
2002-10-13 05:00:00+00:00,"Carole Gould column profiles Julie M Van Cleave, who manages $55 million Mason Street Growth Stock fund; photo; table; graph (M)"
2002-10-13 05:00:00+00:00,James Buchan reviews book Extravagance by Gary Krist (M)
2002-10-13 05:00:00+00:00,Awkward questions keep arising about true strength of earnings of Marriott International because of company's baroque accounting; items kept off balance sheet obscure assessment of Marriott's true financial health; photos; graph (M)
2002-10-13 05:00:00+00:00,"Panelists addressing two conferences, both in Melville, sponsored by local law firms of Ruskin Moscou Faltischek and Farrell Fritz, warn that effects of Sarbanes-Oxley Act will be far-reaching; legislation was passed by Congress in July in respons..."
2002-10-13 05:00:00+00:00,Research and analyses indicate that combination of September 11 terrorist attacks and falling stock market have kept business travelers and international visitors away from luxury hotels; there have been slight improvements in stays at midscale an...
2002-10-13 05:00:00+00:00,"Chinese government is selectively enforcing tax, securities and zoning laws on handful of businesmen and celebrities known for flaunting their wealth and proclaiming their independence; is sending clear signals that capitalists should not act like..."
2002-10-13 05:00:00+00:00,"Market for rock 'n' roll memorabilia remains strong, with rock guitars fetching particularly high prices; photos (M)"
2002-10-13 05:00:00+00:00,Berkeley (Calif) High School to try once again to open cafeteria that emphasizes healthy foods for students; photos (M)0
2002-10-13 05:00:00+00:00,"Following is a transcript of the debate yesterday among candidates for governor, as recorded by The New York Times. The moderator for the debate was Bill Ritter of WABC, Eyewitness News."
2002-10-13 05:00:00+00:00,"Article on controversy over move by officials in Hoboken, NJ, to file suit against city seeking to halt construction of 17-story apartment complex; city, under new Mayor David Roberts, is seeking to slow development; developers, concerned about ci..."
2002-10-13 05:00:00+00:00,"American use of private military contractors grows as number of enlisted military personnel plummets; they operate in every phase of American military endeavors, both overt and covert, answering only to their employers, not their country; their ac..."
2002-10-13 05:00:00+00:00,Footnotes to article on Los Angeles home of Cameron Silver; photos (M)
2002-10-13 05:00:00+00:00,"Japanese Prime Min Junichiro Koizumi, whose popularity plunged in public opinion polls shortly after arriving in office in 2001 pledging sweeping, even painful, change is being taken seriously again by his most powerful foes and by public disaffec..."
2002-10-13 05:00:00+00:00,"Jonathan Fuerbringer column says that earnings expectations for companies in Standard & Poor's 500-stock index are falling for both third and fourth quarters, contrary to earlier predictions, and that share prices will likely reflect disappointmen..."
2002-10-13 05:00:00+00:00,
2002-10-13 05:00:00+00:00,"South Bronx, once symbol of urban blight, is haven for painters, sculptors and other visual artists who find themselves shut out of SoHo, TriBeca, Williamsburg and other entrenched art colonies by sharply rising prices and dwindling inventory of s..."
2002-10-13 05:00:00+00:00,Article assesses impact possibility of war in Iraq and struggling US economy may have on holiday retail season in New Jersey; photos (L)
2002-10-14 05:00:00+00:00,excerpts from the debate among t
2002-10-14 05:00:00+00:00,"Slashdot.org, online publication with millions of dedicated readers, survives and thrives while print publications of dot-com bubble falter; Ann Arbor, Michigan, venture combines rich view of technology with off-kilter wit under slogan 'News for n..."
2002-10-14 05:00:00+00:00,Indonesia's defense minister linked Al Qaeda today to the Saturday blast that killed and injured hundreds of people in Bali.
2002-10-14 05:00:00+00:00,"Anxiety among consumer marketers over sputtering economy is evident at annual meeting of Association of National Advertisers, Naples, Fla; speakers offer unusually-frank admonitions to concentrate scarce corporate resources on reasserting power of..."
2002-10-14 05:00:00+00:00,"Editorial accuses Gov George E Pataki and Democratic challenger H Carl McCall, as well as other 'fiscal illusionists running for office elsewhere, of refusing to face unpleasant facts regarding huge predicted gap in state budgets; says denial work..."
2002-10-14 05:00:00+00:00,"Op-Ed article by Andrew Kohut, director of Pew Research Center, says rarely has mood of American voters been as inscrutable as in current election cycle; notes that while domestic issues that might give Democrats edge are generating strong voter i..."
2002-10-14 05:00:00+00:00,
2002-10-14 05:00:00+00:00,"Confusion and complications with cookies and pop-up ads surround use of latest Microsoft Web browser, Internet Explorer version 6.0; industry experts say users are getting more privacy protection but are also getting more pop-up ads and less perso..."
2002-10-14 05:00:00+00:00,"Article examines roles top AOL Time Warner executives played in forecasting lofty profits for conglomerate; company's declining stock price reflected investors' skepticism, which AOL's financial results eventually confirmed; stock price graph; pho..."
2002-10-15 05:00:00+00:00,
2002-10-15 05:00:00+00:00,"Bombing ofdiscotheques on Bali, Indonesia, by terrorists jolts financial markets across region on Oct 14, bringing warnings for increased security around production sites and other facilities that are mainstay of Indonesia's already tottering econ..."
2002-10-15 05:00:00+00:00,Russia got new start last week on one of its boldest economic reforms in years: breaking up its vast electricity monopoly; many questions remain about how plan will be implemented and investors and some lawmakers have warned that process risks rep...
2002-10-15 05:00:00+00:00,"Editorial says massacre at Indonesian nightclub on island of Bali, apparently work of Al Qaeda and local allies, is horrifying reminder that Islamic extremists who take aim at America and West may be on the run but are not defeated; warns that unt..."
2002-10-15 05:00:00+00:00,"Standard & Poor's 500-stock index ends string of 15 sessions in which it rose or fell at least 1 percent on each day, longest such streak since World War II; remains to be seen whether small move represents end to recent volatility, or just pause ..."
2002-10-15 05:00:00+00:00,"Australia's AurionGold abandons its opposition to hostile takeover bid from Placer Dome Inc of Canada; AurionGold's directors say that it is no longer in best interests of shareholders to reject Placer's offer of stock and cash, valued at 1.5 bill..."
2002-10-15 05:00:00+00:00,"Airbus announces that London-based EasyJet has agreed to buy 120 passenger jets from Airbus and has taken option to buy 120 more at fixed price over next decade; is largest order placed for commercial aircraft this year, and it comes as big blow t..."
2002-10-15 05:00:00+00:00,
2002-10-15 05:00:00+00:00,Top Indonesian officials concede in aftermath of in Bali that killed over 180 people that world's most-populous Muslim nation faces terrorist threat; brushed aside previous warnings by US and neighboring countries out of fear crackdown would infla...
2002-10-15 05:00:00+00:00,"New York State Democratic gubernatorial candidate H Carl McCall accuses Republican incumbent Gov George E Pataki of mismanaging state's response to slumping economy, leaving Albany facing huge deficits and unable to take on bold new initiatives, N..."
2002-10-15 05:00:00+00:00,British power market is roiled as TXU says it will withdraw financial support from its European subsidiary TXU Europe and put unit up for sale; abrupt exit from region after costly expansion raises new questions about health of Britain's privatize...
2002-10-15 05:00:00+00:00,"Brazil's central bank raises overnight interest rates to three-year high of 21 percent, from 18 percent, in move aimed at keeping short-term investment in country by offering higher returns on domestic bonds; currency, the real, closes down half p..."
2002-10-15 05:00:00+00:00,Stock prices surged today as investors celebrated upbeat earnings reports from two of the nation's largest financial institutions.
2002-10-16 05:00:00+00:00,"Article on changes in ticket buying habits for concerts, operas and ballets; more seats are being sold overall to classical music concerts, for example, but for shorter series and on shorter notice, often through Internet; decline in sales of seas..."
2002-10-16 05:00:00+00:00,"Marc Racicot, Republican national chairman, dismisses Democratic Party's response to nation's economic problems as 'impotent' and says he does not believe that fall campaign revolving around economy will hurt Republican Congressional candidates; d..."
2002-10-16 05:00:00+00:00,"Investors desperately seeking shreds of good news finally got some Tuesday from big global corporations, and they responded by snapping up stocks in a powerful rally that spanned most markets. . The surge marked the fourth straight day of gains on..."
2002-10-16 05:00:00+00:00,"Johnson & Johnson reports double-digit earnings growth in third quarter and tells analysts to expect strong results for year; earned $1.8 billion, increase of nearly 19 percent over year-earlier quarter; sales increased 13 percent, to $9.1 billion..."
2002-10-16 05:00:00+00:00,"ImClone Systems Inc founder Samuel D Waksal pleads guilty to six charges, including securities fraud, perjury and obstruction of justice, stemming from hisrole in flurry of stock sales that occurred late last year; does not admit more than half do..."
2002-10-16 05:00:00+00:00,"Delta Air Lines reports third-quarter loss of $326 million compared with $259 million loss year earlier; revenue was $3.42 billion, up slightly $3.4 billion year ago; loss was $212 million, excluding one-time charges and gains; stock rises $1.59, ..."
2002-10-16 05:00:00+00:00,
2002-10-16 05:00:00+00:00,"Although the German stock market has staged a vigorous rally in recent days, the longer-term prospects for Europe's biggest economy remain far from buoyant..The new policy platform to be presented Wednesday by the coalition partners in Chancellor ..."
