pub_date,snippet
1999-02-02 05:00:00+00:00,"Economic and international policies of Venezuela's Pres-elect Hugo Chavez remain mystery on eve of February 2 inauguration, despite efforts to polish image with visits to Europe, Latin America and US since election in December 1998; photo (M)"
1999-02-02 05:00:00+00:00,Mesa Air Group Inc to buy rival CCAir Inc for about $53 million in stock (S)
1999-02-02 05:00:00+00:00,"News analysis of Pres Clinton's $1.77 trillion fiscal 2000 budget; Clinton, who has been adept at using annual budget cycle to win attention for new and recycled programs and to portray himself as active and engaged, has more sweeping goal of seiz..."
1999-02-02 05:00:00+00:00,Independence Community Bank Corp to buy Broad National Bancorp for about $138 million in stock and cash (S)
1999-02-02 05:00:00+00:00,"Societe Generale SA, France's second-largest commercial bank, says it will pay about $18 billion in stock to acquire Paribas SA, nation's fifth-largest bank, quickly arousing speculation about new wave of takeovers in France and across Europe; SG ..."
1999-02-02 05:00:00+00:00,"AT&T Corp and Time Warner Inc join forces to sell local telephone service over Time Warner's millions of cable television lines, venture that could provide consumers with major alternative to Baby Bells and GTE Corp, which now dominate $100 billio..."
1999-02-02 05:00:00+00:00,Skirt hems seem to have settled for now just at bottom of knee; skirts being sold around New York City noted; drawing (S)
1999-02-02 05:00:00+00:00,"Owners of Groupo Televisa SA announce plan to restructure their debt; Televisa will put up $230 million in cash to buy some of its stock from its holding company, Grupo Televicentro SA de CV, along with other notes that will bring Televisa substan..."
1999-02-02 05:00:00+00:00,"Dow Jones industrial average closes down 13.13 points, or one-tenth of 1 percent, to 9,345.70; Nasdaq composite index closes up 4.20 points, or two-tenths of 1 percent, to record 2,510.09; Standard & Poor's 500-stock index slips 6.64 points, or fi..."
1999-02-02 05:00:00+00:00,"The merger-and-acquisition wave that has reshaped the European banking industry at last rolled into France on Monday as Societe Generale SA announced a takeover of Paribas SA, spawning a new financial giant in the heart of the euro zone.. ""Even in..."
1999-02-02 05:00:00+00:00,"Pepsico Inc reports fourth-quarter sales of $7.19 billion, up 15 percent from $6.26 billion in fourth quarter of 1997; net income declined 10 percent, to $361 million from $401 million in year-earlier period; ad and promotional spending drove down..."
1999-02-02 05:00:00+00:00,"Thomas L Friedman Op-Ed column assesses prominent themes that emerge at this year's Davos World Economic Forum in Switzerland; notes widespread fascination fascination with Internet; finds that in wake of economic meltdowns in Mexico, Russia, Sout..."
1999-02-02 05:00:00+00:00,America Online to acquire Moviefone Inc for stock valued at $388 million; Moviefone provides movie show times and sells tickets through 777-FILM telephone service and Moviefone.com Internet site (M)
1999-02-02 05:00:00+00:00,"Market Place column on Omega Advisors, $3 billion hedge fund, focuses Leon G Cooperman, key strategist at fund, who has decided to resign; says Cooperman's departure comes as Omega attempts to recover from last year's losses; holds during last yea..."
1999-02-02 05:00:00+00:00,
1999-02-03 05:00:00+00:00,"Pres Clinton's budget calls for sweeping crackdown on use of tax shelters and would impose new taxes on some exporters; it would limit benefits of technique that some companies use in spinning off subsidiaries, would bar companies from deducting p..."
1999-02-03 05:00:00+00:00,"Brazil replaces its central bank president for second time in three weeks and surprises financial markets with choice: Arminio Fraga Neto, a disciple of billionaire speculator George Soros; Fraga appointment coincides with urgent consultations bet..."
1999-02-03 05:00:00+00:00,"Editorial Observer on bubble talk about stock prices that fly every upward, defying economic reality; quotes Bill Gates' bewilderment as to why people would pay so much for Internet stocks, and notes that even Alan Greenspan's expressions of conce..."
1999-02-03 05:00:00+00:00,
1999-02-03 05:00:00+00:00,"In wake of Super Bowl Sunday, there have been developments affecting advertising accounts with billings estimated at more than $375 million involving various advertisers; specific advertising account activities discussed (M)"
1999-02-03 05:00:00+00:00,
1999-02-03 05:00:00+00:00,"Entrepreneurs seeking to profit from millenium plan avalance of fin-de-siecle merchandise; Bob Guberman, who trademarked name Year 2000 and its licensing it to manufacturers, comments; little merchandise is in stores yet and merchants have seen li..."
1999-02-03 05:00:00+00:00,"Republicans in Nassau County, NY, where patronage and insider deals have long been fixture of politics, fear political impact of big cost overruns in health care plan for county employees; Robert J McDonald, then deputy county executive, was main ..."
1999-02-03 05:00:00+00:00,Goodyear Tire and Rubber Co is expected to announce that it has signed deal with Sumitomo Rubber Industries Ltd that will effectively give Goodyear control of most of debt-laden Japanese company's tire operations; Goodyear and Sumitomo will swap a...
1999-02-03 05:00:00+00:00,John Willoughby and Chris Schlesinger comment on cooking with mangoes and papayas; recipes; drawing (M)
1999-02-03 05:00:00+00:00,"As a jazz orchestra played and lights twinkled across an immense indoor swimming pool, the party-goers looked out over a sea of loaded buffet tables and surveyed the feast: Should they choose the smoked salmon, the foie gras or the shrimp royale? ..."
1999-02-03 05:00:00+00:00,"Nasdaq composite index drops 46.67 points, or 1.86 percent, to 2,463.42; Dow Jones industrial average declines 71.58 points, to 9,274.12; Standard & Poor's 500-stock index loses 11.01 points, to 1,261.99; graph; chart (M)"
1999-02-03 05:00:00+00:00,"Herbert Stein Op-Ed article suggests way to save Social Security, purify Government investment in the market and have $500 billion a year left over (S)"
1999-02-03 05:00:00+00:00,"Special committee of Nasdaq market makers, brokerage firms and other industry officials examining ways to deal with sharp price swings of certain Internet-related stocks has voted not to recommend that officials of Nasdaq stock market be given pow..."
1999-02-04 05:00:00+00:00,
1999-02-04 05:00:00+00:00,"Parmalat SpA, world's largest dairy company, will buy diary unit of its main Italian rival, Cirio SpA, for 780 billion lire ($458 million) in cash and assumed debt; Parmalat also reports that second-half pretax profit rose 40 percent, to 273 billi..."
1999-02-04 05:00:00+00:00,"Falling regulatory barriers have prompted free-for-all among companies that want to provide small and not-so-small businesses with loans and other services that were once province of traditional banks; Merrill Lynch & Co, country's largest brokera..."
1999-02-04 05:00:00+00:00,"Federal Reserve votes to leave interest rates unchanged, keeping its hands off economy that is either gratifyingly robust or too strong for its own good; decision highlights dilemma facing central bank just months after it cut rates three times to..."
1999-02-04 05:00:00+00:00,"Dow Jones industrial average rises 92.69 points, or 1 percent, to 9,366.81; Nasdaq composite index rises 29.99 points, or 1.22 percent, to 2,493.41, while Standard & Poor's 500-stock index edges up 10.08 points, or eight-tenths of 1 percent, to 1,..."
1999-02-04 05:00:00+00:00,"Five Brooklyn institutions, none of them used to lavish donations, debate how to spend total of $340 million left them by Donald and Mildred Othmer, local couple whose quiet lives gave no hint of $750 million estate they amassed; Polytechnic Unive..."
1999-02-04 05:00:00+00:00,"Accent on Design exhibition at New York gift show is awash with items for home in metallic plastic, objects of molded polypropylene or vinyl in which metal color is part of the material; drawing (M)"
1999-02-04 05:00:00+00:00,"Shares of any company that offers stock trading on World Wide Web site has been surging; shares of Siebert Financial Corp, holding company for Muriel Siebert's brokerage firm, soar $23.50, or 90.4 percent, to $49.50; shares traded last week at $11..."
1999-02-04 05:00:00+00:00,Automatic Data Processing Inc agrees to sell Peachtree Software Inc to Sage Group PLC for $145 million (S)
1999-02-04 05:00:00+00:00,"Rivals of Goldman, Sachs & Co in Hong Kong are watching with keen interest as investment firm struggles to sell shares in Chinese power company, Shandong International Power Development Ltd; if successful, initial public offering will be most sign..."
1999-02-04 05:00:00+00:00,"Silicon Valley's high-tech corporate 'campuses' have come to resemble destination resorts, with companies trying to out-perk one another by offering executives and employees some of best facilities, such as gyms and restaurants--which are not open..."
1999-02-04 05:00:00+00:00,"J C Herz evaluates computer game Pokemon, in which participants raise and train monsters to fight; game is published by Nintendo and costs $29.95; photos (M)"
1999-02-04 05:00:00+00:00,"Goodyear Tire and Rubber Co and Sumitomo Rubber Industries Ltd will combine many of their plants and sales operations into huge joint venture with annual sales of about $15.5 billion; Goodyear, which will be controlling partner, will pay Sumitomo ..."
1999-02-05 05:00:00+00:00,"Shares of 3Com Corp fall 8.5 percent, off a second day, amid concern about falling prices on Palm Pilot hand-held computer; company cut by 19 percent price of its most popular Palm Pilot device (S)"
1999-02-05 05:00:00+00:00,Bell Atlantic Corp's long-term strategic picture is coming into focus despite efforts by other telecommunications companies to chip away at Bell Atlantic's lucrative turf; Bell Atlantic is poised to become first Baby Bell to enter $80 billion long...
1999-02-05 05:00:00+00:00,
1999-02-05 05:00:00+00:00,"Texas Pacific Group, largest shareholder of America West Airlines, has substantially raised price for acquiring airline by saying that it will go along with sale only if potential buyer bids for all of America West Holdings Corp, airline's parent ..."
1999-02-05 05:00:00+00:00,Wall Street firms that rescued hedge fund Long-Term Capital Management last fall learn at gathering that they made modest profit on their investment and that hedge fund is not as risky as it once was; but hopes of getting their money back quickly ...
1999-02-05 05:00:00+00:00,"Nasdaq composite index falls 83.34 points, its third-biggest point drop ever, to 2,410.07; Standard & Poor's 500-stock index falls 23.58, or 1.85 percent, to 1,248.49; Dow Jones industrial average slips 62.13, nearly 0.7 percent, to 9,304.50; grap..."
1999-02-05 05:00:00+00:00,"Market Place column on E*Trade Group's stock, which was not hurt by two days of computer problems and announcement by New York State Attorney Gen Eliot L Spitzer that he will investigate Internet trading industry after his office received complain..."
1999-02-05 05:00:00+00:00,"Malaysia said Thursday it would ease the tough controls it imposed last September on currency flows, edging its way back into the global financial markets in a bid to encourage the return of foreign investors.. While leaving in place the main comp..."
1999-02-05 05:00:00+00:00,"Bargain real-estate prices and renewed hopes for casino gambling prompt surge of investment in Catskills, mere two months after closing of Concord Resort Hotel touched off new wave of obituaries about Catskills; Concord has already been bought by ..."
1999-02-05 05:00:00+00:00,"It has been 18 months since Haris Aziz and his family began hearing the words ""economic crisis"" and by now one might have expected them to be feeling the pinch.. Yet, on a recent morning, when Mr. Haris, 42, his four brothers and their younger"
1999-02-06 05:00:00+00:00,
1999-02-06 05:00:00+00:00,"Brazil's financial markets fall after Government releases few details of its pledge to International Monetary Fund to narrow its budget deficit and cap inflation at 10 percent; value of its currency, the real, falls 1 percent, to 1.82 to the dolla..."
1999-02-06 05:00:00+00:00,"WHEN THE Money Report began tracking the performance of the stocks recommended in its pages in November 1997, we acknowledged that a quarter might be too short a time to judge, and that it might take longer for some picks to pan out.. That turns o..."
1999-02-06 05:00:00+00:00,"Labor Department reports 245,000 jobs were created in January, as economy continues to expand; says unemployment remained at 4.3 percent, lowest level in four years; performance has many forecasters, most of whom were predicting broad slowdown in ..."
1999-02-06 05:00:00+00:00,
1999-02-06 05:00:00+00:00,"Responding to the hunger of European investors for index-based investment opportunities, the German on-line brokerage Direkt Anlage Bank AG, a subsidiary of Hypo- & Vereinsbank AG, is introducing an index certificate named Investor Turbo World, wh..."
1999-02-06 05:00:00+00:00,"Several companies that monitor the hedge fund industry say that despite predictions of heavy withdrawals, investors are believed to have removed only about 5 percent of their assets from these funds in 1998; precise figures are difficult to come b..."
1999-02-06 05:00:00+00:00,"Nasdaq index declined 36.45 points, to 2,373.62 yesterday; Dow Jones industrial average closed day off 0.26 point, at 9,304.24; for the week, Nasdaq composite index was down 5.3 percent, its worst one-week decline since October; graph; chart on so..."
1999-02-06 05:00:00+00:00,"Article on how New York Times Neediest Cases Fund has helped Mrs Hyman Itzkowitz and Leona Stein, members of Kin Care support group in Bensonhurst, Brooklyn (M)"
1999-02-06 05:00:00+00:00,"Federal Reserve reports consumer borrowing rose $7.3 billion, to $1.308 trillion, in Dec, after increasing an unrevised $3.9 billion in November (S)"
1999-02-07 05:00:00+00:00,"James L Martin letter, commenting on February 4 article, charges Pres Clinton with fiscal irresponsibility for proposing that Govt invest budget surplus in stock market to save Social Security (S)"
1999-02-07 05:00:00+00:00,"John Cleese of Monty Python and Fawlty Towers fame shares some of the things he has learned about management in 25 years of making management training videos for Video Arts Ltd, a London-based company he founded; his current enthusiasm is Hare Bra..."
1999-02-07 05:00:00+00:00,Investment outlook turns from bleak to rosy after fourth-quarter earnings reveal that worst fears about last summer's emerging-markets panic did not pan out; photo (M)
