pub_date,snippet
1998-09-08 05:00:00+00:00,"Travel Industry Association of America estimates summer travel rose 3 percent from 1997, to new record, and expects 5 percent rise in fall travel, setting another new record; number of factors could hurt fall travel, especially sharp stock-price d..."
1998-09-08 05:00:00+00:00,Market Place article on big premium being paid for shares of famed investor Warren Buffett's Berkshire Hathaway Inc; shares are up 30.4 percent for year even as company's eight major stockholdings have lost 6 percent; are trading at 2.4 times valu...
1998-09-08 05:00:00+00:00,"Scores of small and midsized businesses are failing daily in South Korea, amid economic changes mandated by International Monetary Fund; are unable to get credit as banks struggle to survive; orders are few in shrinking economy and exports have dr..."
1998-09-08 05:00:00+00:00,
1998-09-08 05:00:00+00:00,Investment bankers are busy soothing clients and trying to hold together merger deals threatened by tumbling stock prices; others are busy working on deals for leveraged-buyout firms hunting for bargains; photo (M)
1998-09-08 05:00:00+00:00,"Stock options have fueled boom in Silicon Valley and in other regions of country where high-technology and Internet businesses are congregated, more than in almost any other industry; have allowed start-up companies to pay smart, ambitious workers..."
1998-09-08 05:00:00+00:00,
1998-09-08 05:00:00+00:00,"Stock prices soar abroad, led by big rises in Asia; sharpest rises are in Malaysia, where prices rise record 23 percent, and Hong Kong, where Hang Seng index rises 7.9 percent; rises in Malaysia and Hong Kong, where Government's have intervened to..."
1998-09-08 05:00:00+00:00,"Goldman, Sachs & Co's 11,500 employees worldwide to take part in conference call in which investment firm's leaders are expected to discuss planned public stock offering; co-chief executives Jon S Corzine and Henry M Paulson Jr will review firm's ..."
1998-09-08 05:00:00+00:00,
1998-09-08 05:00:00+00:00,Analysis of how Federal Reserve Chmn Alan Greenspan's vague and conditional mention of possible United States interest rate cut should global financial crisis continue to worsen has helped spur rally by stocks overseas; investors see him offering ...
1998-09-08 05:00:00+00:00,"The government-owned oil company is one step away from taking over Engen Ltd., a South African oil company, for close to $500 million, one week after Malaysia imposed currency controls to stem the flow of money abroad..Petroliam Nasional Bhd. of M..."
1998-09-08 05:00:00+00:00,"David E Kendall, Pres Clinton's personal lawyer, asks independent counsel Kenneth W Starr for permission to review at least week in advance any report on President to Congress--sign that White House is readying defense against possible impeachment..."
1998-09-09 05:00:00+00:00,Imperial Holly Corp to acquire Diamond Crystal Specialty Foods Inc for $80 million in cash and $40 million in stock; it will also assume $33.9 million in debt (S)
1998-09-09 05:00:00+00:00,"Eric Asimov Critic's Notebook column on increasingly congested conditions in some New York City restaurants; with rents soaring and restaurants booming, restaurateurs feel justified in squeezing in an extra table or two--even if it means the diffe..."
1998-09-09 05:00:00+00:00,"Article focuses on big toll Russia's financial turmoil taking toll on small but new and visible middle class, especially in Moscow, which arose during city's giddy post-Communist expansion and spent money 'like there was no tomorrow;' photo (M)"
1998-09-09 05:00:00+00:00,"As Hong Kong's financial secretary, Donald Tsang, called Tuesday for international measures to reign in speculators worldwide, analysts pointed out some of the problems with Hong Kong's stepped up war on market forces..Finding out who they are, st..."
1998-09-09 05:00:00+00:00,
1998-09-09 05:00:00+00:00,"Brazilian Government announces modest measure to stimulate exports and contain spending; Government says it will simplify cumbersome bureaucratic procedures for exports worth less than $10,000, and will allow foreigners to pay for Brazilian export..."
1998-09-09 05:00:00+00:00,"Commercial Real Estate column discusses strategies employed by Emmes Asset Management Corporation to lease about 300,000 square feet of contiguous empty space in 635,000-square-foot building at 685 Third Avenue in Manhattan (M)"
1998-09-09 05:00:00+00:00,"J Christopher Flowers, founder of Goldman, Sachs & Co's lucrative financial institutions merger practice, says he plans to retire at end of November; retirement comes as firm reaffirms its intention to end its private partnership and issue shares ..."
1998-09-09 05:00:00+00:00,"Stock prices rise on New York Stock Exchange and elsewhere on September 8, with Dow Jones Industrial Average vaulting 380.53 points, or nearly 5 percent, to close at 8,020.78 for biggest rise in percentage terms since crash of 1987; Standard & Poo..."
1998-09-09 05:00:00+00:00,"When Malaysia became the first country in Asia to clamp down on currency trading last week, the move raised a basic question: Can a small, trade-dependent economy shut itself out from international currency markets and still attract foreign direct..."
1998-09-09 05:00:00+00:00,Madame Curry packaged mixes hasten preparation of authentic Indian dishes; photo (S)
1998-09-09 05:00:00+00:00,"Shares in renamed British American Tobacco PLC soar far ahead of rest of London's lackluster stock market in first day's trading since company sold its financial services arm to Zurich Group; at same time, newly merged Allied Zurich PLC loses grou..."
