pub_date,snippet
1999-07-22 05:00:00+00:00,Coca-Cola Co's offices in four European countries are raided by regulators who seize company documents that may lead to investigation of company's competitive practices with big customers like supermarkets; offices of Coke and its bottling compani...
1999-07-22 05:00:00+00:00,"Asian markets are soaring despite widely held view among financial experts that collusion, corruption and financial bungling that contributed to Asia's economic troubles have merely been diluted, not eradicated; some analysts say soaring Asian equ..."
1999-07-22 05:00:00+00:00,"Cincinnati Bell agrees to acquire IXC Communications for $2.1 billion; IXC created great asset in 13,000-mile fiber optic communications network, but failed to developed advanced communications services and internal systems that would allow it to ..."
1999-07-22 05:00:00+00:00,"Fidelity Investments, Charles Schwab Corp, Donaldson, Lufkin & Jenrette and Spear, Leeds & Kellogg plan to form electronic stock-trading network; venture could quickly become one of best-financed and most efficient of nine computerized stock tradi..."
1999-07-22 05:00:00+00:00,"Steve Jobs, the co-founder and temporary boss of Apple Computer Inc., on Wednesday unveiled a fast and colorful portable computer to complement the popular iMac line.. The long-rumored new machine, dubbed the iBook, is targeted to the student and ..."
1999-07-22 05:00:00+00:00,"Dow Jones industrial average rises 6.65 points, or 0.06 percent, to 11,002.78; Standard & Poor's 500-stock index gains 2.19, or 0.2 percent, to 1,379.29; Nasdaq composite index climbs 29.59, or 1.1 percent, to 2,761.77; price of benchmark 30-year ..."
1999-07-22 05:00:00+00:00,"Bear Stearns Companies says fiscal fourth-quarter profit rose record 56 percent, to $269.1 million; revenue net of interest expense rose 24 percent, to $1.5 billion; trading revenue rose 45 percent, to record $712.8 million; commissions rose 18 pe..."
1999-07-22 05:00:00+00:00,"America Online earned $160 million in second quarter, slightly ahead of expectations; revenue increased by $1.4 billion, up 46 percent over 1998 quarter; Amazon.com lost $138 million compared with $22.6 million loss a year earlier; revenue was $31..."
1999-07-22 05:00:00+00:00,"Employee-owned United Parcel Service of America Inc plans initial public offering of 10 percent stake in company; offering is likely to raise $3 billion to $5 billion, creating windfall for employees; chairman and chief executive James P Kelly say..."
1999-07-22 05:00:00+00:00,"Johnson & Johnson acquires Centocor Inc, one of nation's largest biotechnology companies, for $4.9 billion in stock; deal appears to be part of Johnson & Johnson strategy to shift more of its focus to high-profit pharmaceuticals (M)"
1999-07-22 05:00:00+00:00,"Chase Manhattan Corp says second-quarter earnings rose greater-than-expected 25 percent; profit from operations rose to $1.35 billion compared with $1.08 billion in 1998 quarter; net income rose nearly 30 percent, to $1.39 billion from $1.07 billi..."
1999-07-22 05:00:00+00:00,
1999-07-23 05:00:00+00:00,Excerpts from Federal Reserve Chairman Alan Greenspan's semiannual report on economy to House Banking Committee
1999-07-23 05:00:00+00:00,
1999-07-23 05:00:00+00:00,
1999-07-23 05:00:00+00:00,"Profile of Carleton S Fiorina, who has been named chief executive of Hewlett-Packard Co; she comments on her corporate strategy; photo (M)"
1999-07-23 05:00:00+00:00,"Federal Reserve Chairman Alan Greenspan warns anew about euphoric stock market and pledges to act 'promptly and forcefully' to prevent any revival of inflation, testimony before House Banking Committee; he infuriates some House Republicans by char..."
1999-07-23 05:00:00+00:00,"Karel van Miert, one of the most active members of the departing European Commission, is punctuating his career as its top antitrust official with an investigation of the sales practices of Coca-Cola Co. bottlers..Mr. van Miert confirmed Thursday ..."
1999-07-23 05:00:00+00:00,"US Attorney's Office is investigating trading activities at Datek On Line Holdings that took place as recently as two years ago, when company was called Datek Securities Corp; investigation is said to involve trading activity at firm using Nasdaq'..."
1999-07-23 05:00:00+00:00,"Alan Greenspan, the Federal Reserve Board chairman, sounded a hawkish note in congressional testimony on Thursday, saying the U.S. economy seemed to be growing too fast and indicating the central bank was likely to raise interest rates to slow it ..."
1999-07-23 05:00:00+00:00,
1999-07-23 05:00:00+00:00,"Management of Carematrix Corp, operator of retirement communities, is considering taking company private (S)"
1999-07-23 05:00:00+00:00,"Alan Greenspan, the Federal Reserve Board chairman, sounded a hawkish note in congressional testimony on Thursday, saying the U.S. economy seemed to be growing too fast and indicating the central bank was likely to raise interest rates to slow it ..."
1999-07-23 05:00:00+00:00,"Aetna Inc expects to complete what it has called its billion-dollar purchase of Prudential Health Care in next 10 days; analysts say price is closer to zero; they believe parent, Prudential Insurance Co of America, is virtually paying Aetna to tak..."
1999-07-24 05:00:00+00:00,
1999-07-24 05:00:00+00:00,"Aegon? Be gone! Neil Macneale, a California investment adviser who publishes a newsletter that focuses on stock splits, suggested his readers dump shares of the Dutch insurer Aegon NV, which they would have acquired had they been following his equ..."
1999-07-24 05:00:00+00:00,"Paying bills with cash has been going out of style for some time now. The Nov. 28 issue of the Money Report looked at a trio of companies that aim to profit from this trend by offering services that enable consumers to pay electronically, with cre..."
1999-07-24 05:00:00+00:00,
1999-07-24 05:00:00+00:00,Buyout led by management group and Leonard Green & Partners LP affiliate will purchase White Cap Industries and take it private (S)
1999-07-24 05:00:00+00:00,"New York Stock Exchange and Nasdaq market are moving quickly to convert from nonprofit institutions to for-profit corporations; Richard A Grasso, chairman and chief executive of Big Board, says it could be ready to sell shares to public as early a..."
1999-07-24 05:00:00+00:00,"Dow Jones industrial average falls 58.26 points, to 10,910.96; Standard & Poor's 500 index drops 4.03 points, to 1,356.94; Nasdaq composite index rises 7.96 points, to 2,692.40; graphs; charts (M)"
1999-07-24 05:00:00+00:00,
1999-07-24 05:00:00+00:00,"IF YOU are thinking of buying shares in a company that has had a big drop in its stock price, think again. After the fall, large-company stocks in America tend to do no better than the overall stock market, Mercer Management Consulting has found....."
1999-07-24 05:00:00+00:00,"Neuberger Berman LLC, private investment partnership which decided in October 1998 against going public, reportedly is considering giving initial public offering second try (M)"
1999-07-24 05:00:00+00:00,
1999-07-24 05:00:00+00:00,"Article on rising fortunes of O'Gara-Hess & Eisenhardt Armoring Co of Fairfield, Ohio, and other car-armoring companies in Brazil as result of growing fear among wealthy Brazilians over kidnappings; O'Gara's sales of armoring for cars at Sao Paulo..."
1999-07-24 05:00:00+00:00,"THE Neuer Markt gold rush is over, but investors who are willing to dig can still find some nuggets. The German stock exchange for high-growth companies had been one of the world's best-performing markets, and its Performance Index racked up impre..."
1999-07-24 05:00:00+00:00,"South Korea's benchmark Kospi stock index drops 71.70 points, to 904.96, record one-day loss, as interest rates continue to surge amid fallout from Daewoo Group's debt crisis (S)"
1999-07-24 05:00:00+00:00,"The South Korean stock market plunged Friday as investors worried about the fate of Daewoo Group, the country's third largest industrial conglomerate, which is teetering on the brink of collapse..The benchmark stock index fell 7.3 percent, its thi..."
1999-07-24 05:00:00+00:00,"Article, using publicly-traded Australian Stock Exchange as comparison, calculates that New York Stock Exchange, if it were publicly traded, would be worth about $15 billion; value, using different calculation, could be as low as about $6.5 billio..."
1999-07-25 05:00:00+00:00,Edwin McDowell travel article on increasing reliance on Internet by owners and prospective lodgers at bed-and-breakfast inns across America; drawing (M)
1999-07-25 05:00:00+00:00,
1999-07-25 05:00:00+00:00,Daisann McLane travel article describes four-day visit to Ulster County in New York's Hudson Valley; photos; map (M)
1999-07-25 05:00:00+00:00,"Roundup of stock and bond market for week ending July 24, when robust profit reports abounded and major stock market indexes sagged; graphs; charts (L)"
1999-07-25 05:00:00+00:00,"Kenneth Gilpin Market Insight column interview with Banc of America Securities strategist Thomas McManus, who comments on his belief that Standard & Poor's 500-stock index and corporate profits will continue to climb for rest of year; photo (M)"
